bearing,ring,extent,damage_kind,condition,median_margin,detection,q25,q75,n_frames
K005,healthy,0,healthy,all,0.4317401100055107,0.56796875,-1.1820450671768201,1.5934251887627509,1280
K005,healthy,0,healthy,N15_M07_F10,1.4747832533050633,0.909375,0.8647129118363649,2.2925838677566848,320
K005,healthy,0,healthy,N09_M07_F10,-1.41005050507008,0.053125,-1.5576119221188534,-1.0889169568636081,320
K005,healthy,0,healthy,N15_M01_F10,0.8798375008896868,0.853125,0.3012557366107843,1.5199363009602023,320
K005,healthy,0,healthy,N15_M07_F04,-0.4480444363368292,0.45625,-1.3429384761230438,1.889363579525837,320
K006,healthy,0,healthy,all,0.8610990724154822,0.759375,0.03404961405962807,1.7731276048297735,1280
K006,healthy,0,healthy,N15_M07_F10,1.5375640125811991,0.953125,0.8656487062607405,2.282688205947596,320
K006,healthy,0,healthy,N09_M07_F10,0.5732940142310158,0.728125,-0.07472589179716321,1.4594221995458292,320
K006,healthy,0,healthy,N15_M01_F10,1.0057057721588227,0.821875,0.3112826169269555,1.9862455349944472,320
K006,healthy,0,healthy,N15_M07_F04,0.12452608074767217,0.534375,-0.602760979914531,1.0259235937506332,320
KA01,outer,1,artificial EDM,all,17.507871814333864,1.0,10.317044123405779,31.91043864225902,1279
KA01,outer,1,artificial EDM,N15_M07_F10,22.78524092809429,1.0,20.239329871146772,25.212257362843264,321
KA01,outer,1,artificial EDM,N09_M07_F10,9.46720270053616,1.0,8.213867970763774,10.763453758442516,320
KA01,outer,1,artificial EDM,N15_M01_F10,43.01510745486549,1.0,39.31236904100254,47.206313378431105,319
KA01,outer,1,artificial EDM,N15_M07_F04,11.378993064968741,1.0,9.841079319966763,13.46540202958144,319
KA03,outer,2,artificial engraver,all,5.395541371754327,0.9992223950233281,3.8590404063507706,7.339653360659045,1286
KA03,outer,2,artificial engraver,N15_M07_F10,5.397494360335988,1.0,4.410800351359299,6.346058462048355,324
KA03,outer,2,artificial engraver,N09_M07_F10,4.602019645368127,0.996875,3.4969453510866604,6.364448194853296,320
KA03,outer,2,artificial engraver,N15_M01_F10,3.8456972348693723,1.0,3.030699949313036,4.7740321232794525,320
KA03,outer,2,artificial engraver,N15_M07_F04,9.21807977287774,1.0,7.53959536961722,10.97250551191977,322
KA04,outer,1,real fatigue pitting,all,15.798228591101706,1.0,11.72388545089914,34.53718735250882,1279
KA04,outer,1,real fatigue pitting,N15_M07_F10,19.182621748736448,1.0,17.206343455518745,21.578617165030693,320
