target,seed,stage,stage_rank,det,median,p5,p25,p75,p95,n_cycles
valve,4,80.0,2,0.008333333333333333,-5.306302425905458,-6.43719665520039,-5.874328249200404,-4.406746331085628,-3.164245923067668,360
valve,4,73.0,3,0.7972222222222223,1.1705837379267012,-1.0969428229255587,0.22811633696458344,2.097517591695183,3.668194561730203,360
valve,5,90.0,1,0.013888888888888888,-9.876610042243257,-10.902185570037496,-10.512131776052033,-9.2417101251223,-8.058034977071731,360
valve,5,80.0,2,0.011111111111111112,-6.854238664029841,-8.816406171082017,-7.8960141210144394,-5.610917661771847,-3.743685743884501,360
valve,5,73.0,3,0.9666666666666667,4.540478290020072,0.6454292486829202,2.8422221972967305,6.359405737524948,8.504180100358981,360
leak,1,1.0,1,0.45208333333333334,-0.3050725653927527,-2.869295553562038,-1.9364633578467008,1.1683636436164155,3.9741999973526903,480
leak,1,2.0,2,0.7729166666666667,2.0779252140557487,-1.5669267766779724,0.20125118142874637,7.23348832642616,11.50949602557747,480
leak,2,1.0,1,0.22291666666666668,-2.9055235310470966,-3.7282519733603947,-3.447013591332948,-1.047025017718416,8.111085018070414,480
leak,2,2.0,2,0.2520833333333333,-2.9178041951078493,-3.7145625600392598,-3.387635856769995,0.5357192487895719,9.15877098317296,480
leak,3,1.0,1,0.5104166666666666,0.13777246763733736,-2.0579968094044374,-1.4815835559640398,1.9229868542336386,11.891828499949597,480
leak,3,2.0,2,0.8104166666666667,4.288202918368802,-1.5654084540516213,0.49865079397602025,7.250205218119985,15.104041692680187,480
leak,4,1.0,1,0.23541666666666666,-3.145868973328117,-4.000774147713689,-3.7562007033467975,-0.6859269720079333,10.25533480526285,480
leak,4,2.0,2,0.45625,-0.5173662229671887,-3.982342407265793,-3.664798358360693,2.6565381501300225,11.544971289039509,480
leak,5,1.0,1,0.16041666666666668,-5.451186005432405,-7.069857317495968,-6.3893932972648875,-3.5196222103809305,9.215907246026637,480
leak,5,2.0,2,0.2708333333333333,-2.6119994126598938,-6.472226637495271,-4.6645587310747185,0.7810765859641616,12.93502342442825,480
accumulator,1,115.0,1,0.19166666666666668,-22.969332322457838,-24.27456783482358,-23.76069720321281,-21.68830612007421,231.15245661171707,360
accumulator,1,100.0,2,0.24444444444444444,-23.0290855810797,-24.240677465846478,-23.74628547983145,-19.126729497944872,246.78734764235054,360
accumulator,1,90.0,3,0.1951219512195122,-22.95061368007751,-24.216977603097014,-23.658479064285192,-21.107131823673875,247.49832333028914,369
accumulator,2,115.0,1,0.19722222222222222,-5.817759952064636,-7.464454163320221,-6.6665149101477335,-4.150446172379944,367.1895839392372,360
accumulator,2,100.0,2,0.25,-5.8793981623612375,-7.412835722933652,-6.744886243214791,-0.30589208877088814,381.3174056132916,360
accumulator,2,90.0,3,0.2005420054200542,-5.574883313095473,-7.373512058975532,-6.497919702839736,-3.0084329433135446,386.806264364441,369
accumulator,3,115.0,1,0.18611111111111112,-25.007493662199288,-26.505969028842806,-25.919338651875645,-22.971861094925817,417.6156276870389,360
accumulator,3,100.0,2,0.24444444444444444,-24.831501935645377,-26.581649249799547,-25.792074509080237,-15.518095613561474,430.90175317504384,360
accumulator,3,90.0,3,0.1951219512195122,-24.829028623309227,-26.533323187502468,-25.812550366408182,-22.647297183637694,433.6242104016281,369
accumulator,4,115.0,1,0.20833333333333334,-2.3240969608946833,-3.570509843243533,-2.939180112317473,-1.1788793784997387,366.45595730737864,360
accumulator,4,100.0,2,0.26666666666666666,-2.127591723519367,-3.5343907873186913,-2.9059022048346397,1.4628394284197983,381.1108083430869,360
accumulator,4,90.0,3,0.21951219512195122,-2.1425508307553467,-3.5421718669119837,-2.8768731504994345,-0.9137680659343456,381.63248350209824,369
accumulator,5,115.0,1,0.19166666666666668,-20.543339209679377,-21.86145372807199,-21.26281199728168,-18.982932562111486,347.5865655638722,360
accumulator,5,100.0,2,0.24444444444444444,-20.578545369775817,-21.819121125329044,-21.319349619437645,-15.980345976332382,364.1149450997865,360
accumulator,5,90.0,3,0.1951219512195122,-20.409713122295823,-21.869713714315463,-21.28458524476495,-18.93801496132064,367.7068920456941,369
